,ID,Line,Condition,Path,Cyt,Mem_post,Dosage_af,Dosage_sub,Genotype
32,32,nwg201,11170730par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg201_11170730par2_tom4,15,60/13",1328.9735635551851,2787.8979927652695,1675.8101933933308,1341.9107247035863,"Wild type, par-3 -/-"
33,33,nwg201,wt,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg201_wt_tom4,15,60/00",3946.481267200035,12965.900617033178,6373.368123631416,9115.118480137273,"Wild type, par-3 -/-"
34,34,nwg201,wt,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg201_wt_tom4,15,60/01",3150.2385855058437,13197.90656422116,5617.6740476670975,7388.843346586955,"Wild type, par-3 -/-"
35,35,nwg369,11161900par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_11161900par2_tom4,15,60/00",2143.2235513386067,2271.138788360301,2497.021272869662,3051.1662469136973,"L109R, par-3 -/-"
36,36,nwg369,11170730par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_11170730par2_tom4,15,60/00",2505.1644964295215,3991.012047276649,3382.781656715688,4382.082243946585,"L109R, par-3 -/-"
37,37,nwg369,11170730par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_11170730par2_tom4,15,60/01",2919.7988267079418,3775.9498345405723,3641.655251372311,4359.920403578613,"L109R, par-3 -/-"
38,38,nwg369,11170730par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_11170730par2_tom4,15,60/02",2782.2029727795834,4091.121933105371,3324.387724425701,4301.9409235285875,"L109R, par-3 -/-"
39,39,nwg369,11170730par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_11170730par2_tom4,15,60/03",3103.584140808917,4232.98549067788,3718.516864119314,4963.6975717477635,"L109R, par-3 -/-"
40,40,nwg369,11170730par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_11170730par2_tom4,15,60/04",2884.0194385880186,4428.9611638402575,3774.9723532135504,4394.968542050909,"L109R, par-3 -/-"
41,41,nwg369,11170730par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_11170730par2_tom4,15,60/05",1491.9501353728256,1742.4904426057105,1791.0661199176461,2379.2357738118035,"L109R, par-3 -/-"
42,42,nwg369,11170730par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_11170730par2_tom4,15,60/06",2750.1826188064583,3723.5193461870317,3422.759427662865,4046.2014125034148,"L109R, par-3 -/-"
43,43,nwg369,11170730par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_11170730par2_tom4,15,60/07",1763.257708322421,2059.445240984375,2189.2298652534987,2969.527674804556,"L109R, par-3 -/-"
44,44,nwg369,11170730par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_11170730par2_tom4,15,60/08",1576.6075816778864,1777.32519949128,1897.1082523723674,2177.4913433796173,"L109R, par-3 -/-"
45,45,nwg369,11170730par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_11170730par2_tom4,15,60/09",2213.4056655639797,2849.2694136790396,2740.946481050843,3103.1269281847417,"L109R, par-3 -/-"
46,46,nwg369,11170730par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_11170730par2_tom4,15,60/10",1584.2235865849655,1432.2214983674746,1832.8160356570259,2337.40013249202,"L109R, par-3 -/-"
47,47,nwg369,11170730par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg369_11170730par2_tom4,15,60/11",1632.9613656375225,1486.979538644886,1696.351344168322,2002.451705364785,"L109R, par-3 -/-"
